,序号,养殖场,牛号,样品号,组织,砷（As1937）,铅（Pb1822）,镉（Cd2144）,铬（Cr2843）,铜（Cu2247）,钴（Co2378）,镍（Ni2216）
23,24,金川庆宁,1,jcqngz1,肝脏,0.0702754036087369,0.0968660968660969,0.127255460588794,0.281101614434948,3.68186134852802,0.0322886989553656,0.0237416904083571
24,25,金川庆宁,2,jcqngz2,肝脏,0.0237859266600595,-0.0465807730426165,0.172447968285431,-0.823587710604559,2.89990089197225,0.0525272547076313,-0.197224975222993
25,26,金川庆宁,3,jcqngz3,肝脏,0.0589390962671906,0.0648330058939096,0.2475442043222,0.389980353634578,2.11689587426326,0.0618860510805501,-0.0275049115913556
26,27,金川庆宁,1,jcqnsz1,肾脏,0.0458801498127341,0.205056179775281,0.923220973782771,0.172284644194757,10.2715355805243,0.000936329588014981,0.119850187265918
27,28,金川庆宁,2,jcqnsz2,肾脏,0.0194174757281553,0.00388349514563107,1.87378640776699,-0.832038834951456,4.55825242718447,0.0378640776699029,-0.166019417475728
28,29,金川庆宁,3,jcqnsz3,肾脏,0.0592233009708738,0.161165048543689,1.87669902912621,0.370873786407767,2.96699029126214,0.054368932038835,-0.0029126213592233
29,30,金川勒乌,1,jclwbj1,背肌,0.0127826941986234,0.0737463126843658,-0.00196656833824975,-1.20255653883972,2.08652900688299,0.00786627335299902,-0.0855457227138643
30,31,金川勒乌,2,jclwbj2,背肌,0.0275735294117647,-0.00827205882352941,0.000919117647058824,-1.234375,1.98529411764706,0.0119485294117647,-0.152573529411765
31,32,金川勒乌,3,jclwbj3,背肌,0.0233009708737864,0.0116504854368932,0.0106796116504854,-1.2621359223301,1.6873786407767,0.00388349514563107,-0.145631067961165
32,33,金川勒乌,1,jclwtj1,腿肌,0.0278606965174129,-0.0258706467661692,0.00696517412935323,-1.25970149253731,1.82885572139303,0.00298507462686567,-0.0766169154228856
33,34,金川勒乌,3,jclwtj3,腿肌,0.0159362549800797,0.0826693227091634,0.0109561752988048,-1.26394422310757,2.08665338645418,0.00697211155378486,-0.177290836653386
34,35,金川勒乌,1,jclwgz1,肝脏,0.0198019801980198,0.0267326732673267,0.0554455445544554,-0.289108910891089,3.32178217821782,0.00792079207920792,-0.240594059405941
35,36,金川勒乌,2,jclwgz2,肝脏,0.0230991337824832,0.0163618864292589,0.0615976900866218,-0.325312800769971,3.72666025024062,0.0192492781520693,-0.404234841193455
36,37,金川勒乌,3,jclwgz3,肝脏,0.0265151515151515,0.0653409090909091,0.178977272727273,-0.900568181818182,5.72159090909091,0.0284090909090909,-0.31155303030303
37,38,金川勒乌,1,jclwsz1,肾脏,0.00938086303939962,0.0619136960600375,0.696998123827392,-0.909005628517824,3.87054409005629,0.0356472795497186,-0.147279549718574
38,39,金川勒乌,2,jclwsz2,肾脏,0.00495049504950495,0.108910891089109,0.71980198019802,-0.932673267326733,4.14455445544554,0.0306930693069307,-0.411881188118812
39,40,金川勒乌,3,jclwsz3,肾脏,-0.0102230483271375,0.315055762081784,2.30669144981413,-0.931226765799256,4.30297397769517,0.0446096654275093,0.0
40,41,马尔康雪松,1,mkxsbj1,背肌,0.0519607843137255,0.046078431372549,-0.000980392156862745,0.0598039215686275,1.41862745098039,-0.0147058823529412,0.0205882352941176
41,42,马尔康雪松,2,mkxsbj2,背肌,0.0306691449814126,-0.0492565055762082,-0.000929368029739777,-0.380111524163569,1.51115241635688,0.00650557620817844,-0.101301115241636
42,43,马尔康雪松,3,mkxsbj3,背肌,0.0257352941176471,-0.0450367647058824,-0.00275735294117647,-1.02849264705882,4.40625,0.0238970588235294,-0.110294117647059
43,44,马尔康雪松,1,mkxstj1,腿肌,0.0598626104023553,0.0215897939156035,-0.00098135426889107,0.0834151128557409,1.62315996074583,-0.0480863591756624,0.0107948969578018
44,45,马尔康雪松,2,mkxstj2,腿肌,0.0247479376718607,-0.0595783684692942,-0.00274977085242896,-0.353803849679193,1.21081576535289,0.0128322639780018,-0.131072410632447
45,46,马尔康雪松,3,mkxstj3,腿肌,0.0114176974310181,-0.0142721217887726,-0.00380589914367269,-1.17507136060894,3.18078020932445,0.00380589914367269,-0.126546146527117
46,47,马尔康雪松,1,mkxsgz1,肝脏,0.0314885496183206,0.0467557251908397,0.0152671755725191,0.177480916030534,1.81679389312977,0.0104961832061069,-0.0143129770992366
47,48,马尔康雪松,2,mkxsgz2,肝脏,0.0187793427230047,-0.0253521126760563,0.0244131455399061,-0.12018779342723,1.47981220657277,0.0347417840375587,-0.203755868544601
48,49,马尔康雪松,3,mkxsgz3,肝脏,0.0277246653919694,-0.0487571701720841,0.0305927342256214,-0.701720841300191,2.80975143403442,0.0506692160611855,-0.205544933078394
49,50,马尔康雪松,1,mkxssz1,肾脏,0.0819672131147541,0.0819672131147541,0.287795992714026,2.06921675774135,1.78142076502732,0.0382513661202186,-0.136612021857923
50,51,马尔康雪松,2,mkxssz2,肾脏,0.00824175824175824,-0.127289377289377,0.230769230769231,-0.267399267399267,2.09157509157509,0.11996336996337,-0.263736263736264
51,52,马尔康雪松,3,mkxssz3,肾脏,0.0136585365853659,-0.0331707317073171,0.19609756097561,-0.83609756097561,3.34731707317073,0.0380487804878049,-0.27219512195122
52,53,茂县茂兴,1,mxmxbj1,背肌,0.0448598130841121,0.666355140186916,0.0224299065420561,-0.285981308411215,3.13271028037383,-0.00654205607476635,0.0102803738317757
53,54,茂县茂兴,2,mxmxbj2,背肌,0.0799238820171265,0.211227402473834,0.000951474785918173,0.495718363463368,2.48525214081827,0.00380589914367269,0.316841103710752
54,55,茂县茂兴,3,mxmxbj3,背肌,0.0537229029217719,0.746465598491989,0.0160226201696513,0.0150801131008483,2.23751178133836,-0.0424128180961357,0.0131950989632422
55,56,茂县茂兴,1,mxmxtj1,腿肌,0.034547152194211,0.34547152194211,0.0186741363211951,-0.323062558356676,2.63398692810458,-0.0140056022408964,0.0457516339869281
56,57,茂县茂兴,2,mxmxtj2,腿肌,0.0393053016453382,0.192870201096892,0.00822669104204753,-0.0347349177330896,2.98263254113345,-0.0155393053016453,-0.0374771480804388
57,58,茂县茂兴,3,mxmxtj3,腿肌,0.0497237569060774,0.366482504604052,0.0156537753222836,-0.266114180478821,2.58379373848987,-0.0193370165745856,0.0294659300184162
58,59,茂县茂兴,1,mxmxgz1,肝脏,0.0625610948191593,0.43108504398827,0.19941348973607,-0.0439882697947214,7.24633431085044,0.0488758553274682,-0.0537634408602151
